Epoch  89/300 | Total   0.5618 | CE   0.1557 | KL   1.1156
Epoch  90/300 | Total   0.5648 | CE   0.1567 | KL   1.1120
Epoch  91/300 | Total   0.5676 | CE   0.1578 | KL   1.1075
Epoch  92/300 | Total   0.5709 | CE   0.1593 | KL   1.1035
Epoch  93/300 | Total   0.5738 | CE   0.1601 | KL   1.1004
Epoch  94/300 | Total   0.5769 | CE   0.1613 | KL   1.0966
Epoch  95/300 | Total   0.5791 | CE   0.1622 | KL   1.0912
Epoch  96/300 | Total   0.5814 | CE   0.1627 | KL   1.0875
Epoch  97/300 | Total   0.5851 | CE   0.1636 | KL   1.0864
Epoch  98/300 | Total   0.5878 | CE   0.1653 | KL   1.0804
Epoch  99/300 | Total   0.5914 | CE   0.1664 | KL   1.0787
Epoch 100/300 | Total   0.5941 | CE   0.1677 | KL   1.0741
Epoch 101/300 | Total   0.5959 | CE   0.1687 | KL   1.0679
Epoch 102/300 | Total   0.5994 | CE   0.1697 | KL   1.0663
Epoch 103/300 | Total   0.6016 | CE   0.1707 | KL   1.0614
Epoch 104/300 | Total   0.6047 | CE   0.1721 | KL   1.0577
Epoch 105/300 | Total   0.6077 | CE   0.1730 | KL   1.0550
Epoch 106/300 | Total   0.6108 | CE   0.1744 | KL   1.0516
Epoch 107/300 | Total   0.6134 | CE   0.1757 | KL   1.0473
Epoch 108/300 | Total   0.6170 | CE   0.1770 | KL   1.0451
Epoch 109/300 | Total   0.6194 | CE   0.1778 | KL   1.0414
Epoch 110/300 | Total   0.6213 | CE   0.1790 | KL   1.0360
Epoch 111/300 | Total   0.6243 | CE   0.1803 | KL   1.0325
Epoch 112/300 | Total   0.6274 | CE   0.1816 | KL   1.0296
Epoch 113/300 | Total   0.6302 | CE   0.1826 | KL   1.0267
Epoch 114/300 | Total   0.6327 | CE   0.1838 | KL   1.0225
Epoch 115/300 | Total   0.6357 | CE   0.1855 | KL   1.0185
Epoch 116/300 | Total   0.6383 | CE   0.1861 | KL   1.0163
Epoch 117/300 | Total   0.6406 | CE   0.1880 | KL   1.0102
Epoch 118/300 | Total   0.6436 | CE   0.1889 | KL   1.0081
Epoch 119/300 | Total   0.6465 | CE   0.1900 | KL   1.0054
Epoch 120/300 | Total   0.6497 | CE   0.1918 | KL   1.0019
Epoch 121/300 | Total   0.6521 | CE   0.1929 | KL   0.9982
Epoch 122/300 | Total   0.6545 | CE   0.1947 | KL   0.9930
Epoch 123/300 | Total   0.6571 | CE   0.1957 | KL   0.9902
Epoch 124/300 | Total   0.6599 | CE   0.1974 | KL   0.9861
Epoch 125/300 | Total   0.6632 | CE   0.1993 | KL   0.9829
