Epoch  89/300 | Total   0.8638 | CE   0.1637 | KL   1.9236
Epoch  90/300 | Total   0.8680 | CE   0.1645 | KL   1.9169
Epoch  91/300 | Total   0.8724 | CE   0.1658 | KL   1.9097
Epoch  92/300 | Total   0.8789 | CE   0.1668 | KL   1.9089
Epoch  93/300 | Total   0.8839 | CE   0.1683 | KL   1.9030
Epoch  94/300 | Total   0.8890 | CE   0.1698 | KL   1.8976
Epoch  95/300 | Total   0.8935 | CE   0.1700 | KL   1.8941
Epoch  96/300 | Total   0.8987 | CE   0.1720 | KL   1.8874
Epoch  97/300 | Total   0.9041 | CE   0.1726 | KL   1.8851
Epoch  98/300 | Total   0.9076 | CE   0.1738 | KL   1.8768
Epoch  99/300 | Total   0.9138 | CE   0.1759 | KL   1.8728
Epoch 100/300 | Total   0.9190 | CE   0.1775 | KL   1.8677
Epoch 101/300 | Total   0.9212 | CE   0.1763 | KL   1.8622
Epoch 102/300 | Total   0.9286 | CE   0.1788 | KL   1.8606
Epoch 103/300 | Total   0.9318 | CE   0.1795 | KL   1.8529
Epoch 104/300 | Total   0.9367 | CE   0.1808 | KL   1.8483
Epoch 105/300 | Total   0.9422 | CE   0.1823 | KL   1.8443
Epoch 106/300 | Total   0.9458 | CE   0.1823 | KL   1.8397
Epoch 107/300 | Total   0.9514 | CE   0.1852 | KL   1.8330
Epoch 108/300 | Total   0.9577 | CE   0.1855 | KL   1.8343
Epoch 109/300 | Total   0.9626 | CE   0.1880 | KL   1.8268
Epoch 110/300 | Total   0.9664 | CE   0.1889 | KL   1.8208
Epoch 111/300 | Total   0.9720 | CE   0.1903 | KL   1.8178
Epoch 112/300 | Total   0.9756 | CE   0.1911 | KL   1.8119
Epoch 113/300 | Total   0.9802 | CE   0.1919 | KL   1.8080
Epoch 114/300 | Total   0.9854 | CE   0.1944 | KL   1.8019
Epoch 115/300 | Total   0.9902 | CE   0.1942 | KL   1.8008
Epoch 116/300 | Total   0.9947 | CE   0.1963 | KL   1.7942
Epoch 117/300 | Total   0.9989 | CE   0.1976 | KL   1.7885
Epoch 118/300 | Total   1.0040 | CE   0.1986 | KL   1.7859
Epoch 119/300 | Total   1.0082 | CE   0.1999 | KL   1.7805
Epoch 120/300 | Total   1.0137 | CE   0.2020 | KL   1.7761
Epoch 121/300 | Total   1.0179 | CE   0.2021 | KL   1.7735
Epoch 122/300 | Total   1.0241 | CE   0.2047 | KL   1.7697
Epoch 123/300 | Total   1.0278 | CE   0.2058 | KL   1.7639
Epoch 124/300 | Total   1.0325 | CE   0.2075 | KL   1.7590
Epoch 125/300 | Total   1.0385 | CE   0.2105 | KL   1.7543
Epoch 126/300 | Total   1.0408 | CE   0.2093 | KL   1.7506
Epoch 127/300 | Total   1.0463 | CE   0.2116 | KL   1.7463
Epoch 128/300 | Total   1.0511 | CE   0.2131 | KL   1.7422
Epoch 129/300 | Total   1.0541 | CE   0.2135 | KL   1.7369
Epoch 130/300 | Total   1.0603 | CE   0.2155 | KL   1.7347
Epoch 131/300 | Total   1.0654 | CE   0.2167 | KL   1.7318
Epoch 132/300 | Total   1.0678 | CE   0.2184 | KL   1.7229
Epoch 133/300 | Total   1.0735 | CE   0.2195 | KL   1.7217
Epoch 134/300 | Total   1.0777 | CE   0.2221 | KL   1.7146
Epoch 135/300 | Total   1.0819 | CE   0.2231 | KL   1.7109
Epoch 136/300 | Total   1.0875 | CE   0.2246 | KL   1.7087
Epoch 137/300 | Total   1.0898 | CE   0.2252 | KL   1.7019
Epoch 138/300 | Total   1.0958 | CE   0.2269 | KL   1.7002
Epoch 139/300 | Total   1.1006 | CE   0.2285 | KL   1.6968
Epoch 140/300 | Total   1.1038 | CE   0.2299 | KL   1.6903
Epoch 141/300 | Total   1.1099 | CE   0.2327 | KL   1.6869
Epoch 142/300 | Total   1.1122 | CE   0.2327 | KL   1.6817
Epoch 143/300 | Total   1.1169 | CE   0.2349 | KL   1.6768
Epoch 144/300 | Total   1.1219 | CE   0.2360 | KL   1.6747
Epoch 145/300 | Total   1.1264 | CE   0.2387 | KL   1.6686
Epoch 146/300 | Total   1.1301 | CE   0.2394 | KL   1.6649
Epoch 147/300 | Total   1.1339 | CE   0.2409 | KL   1.6599
Epoch 148/300 | Total   1.1382 | CE   0.2426 | KL   1.6554
Epoch 149/300 | Total   1.1436 | CE   0.2452 | KL   1.6515
Epoch 150/300 | Total   1.1461 | CE   0.2455 | KL   1.6464
Epoch 151/300 | Total   1.1513 | CE   0.2474 | KL   1.6435
Epoch 152/300 | Total   1.1550 | CE   0.2485 | KL   1.6393
Epoch 153/300 | Total   1.1593 | CE   0.2506 | KL   1.6343
Epoch 154/300 | Total   1.1639 | CE   0.2518 | KL   1.6316
Epoch 155/300 | Total   1.1674 | CE   0.2540 | KL   1.6254
Epoch 156/300 | Total   1.1723 | CE   0.2551 | KL   1.6234
Epoch 157/300 | Total   1.1763 | CE   0.2579 | KL   1.6169
Epoch 158/300 | Total   1.1801 | CE   0.2580 | KL   1.6148
Epoch 159/300 | Total   1.1839 | CE   0.2596 | KL   1.6102
Epoch 160/300 | Total   1.1889 | CE   0.2630 | KL   1.6048
Epoch 161/300 | Total   1.1917 | CE   0.2643 | KL   1.5990
Epoch 162/300 | Total   1.1966 | CE   0.2657 | KL   1.5966
Epoch 163/300 | Total   1.2004 | CE   0.2672 | KL   1.5925
Epoch 164/300 | Total   1.2043 | CE   0.2688 | KL   1.5883
Epoch 165/300 | Total   1.2083 | CE   0.2692 | KL   1.5862
